Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,CCDS ID
ENSG00000196678,ENSG00000196678.14,ENST00000300005,ENST00000300005.7,CCDS10590
ENSG00000011638,ENSG00000011638.11,ENST00000233047,ENST00000233047.9,CCDS10595
ENSG00000011638,ENSG00000011638.11,ENST00000261388,ENST00000261388.7,CCDS10595
ENSG00000011638,ENSG00000011638.11,ENST00000572599,ENST00000572599.5,CCDS10595
ENSG00000168434,ENSG00000168434.13,ENST00000307149,ENST00000307149.10,CCDS10610
ENSG00000169221,ENSG00000169221.14,ENST00000409939,ENST00000409939.8,CCDS10676
ENSG00000167005,ENSG00000167005.14,ENST00000300291,ENST00000300291.10,CCDS10760
ENSG00000070915,ENSG00000070915.10,ENST00000438926,ENST00000438926.6,CCDS10770
ENSG00000103021,ENSG00000103021.9,ENST00000219299,ENST00000219299.8,CCDS10795
ENSG00000172840,ENSG00000172840.7,ENST00000311765,ENST00000311765.4,CCDS10822
ENSG00000180917,ENSG00000180917.18,ENST00000338099,ENST00000338099.9,CCDS10898
ENSG00000180917,ENSG00000180917.18,ENST00000434935,ENST00000434935.7,CCDS10898
ENSG00000157429,ENSG00000157429.16,ENST00000288177,ENST00000288177.10,CCDS10901
ENSG00000157429,ENSG00000157429.16,ENST00000564230,ENST00000564230.5,CCDS10901
ENSG00000171861,ENSG00000171861.11,ENST00000304478,ENST00000304478.9,CCDS10997
ENSG00000108381,ENSG00000108381.11,ENST00000456349,ENST00000456349.6,CCDS11028
ENSG00000108381,ENSG00000108381.11,ENST00000263080,ENST00000263080.3,CCDS11028
ENSG00000142507,ENSG00000142507.10,ENST00000270586,ENST00000270586.8,CCDS11056
ENSG00000129204,ENSG00000129204.17,ENST00000574788,ENST00000574788.6,CCDS11069
ENSG00000129204,ENSG00000129204.17,ENST00000250066,ENST00000250066.6,CCDS11069
ENSG00000177294,ENSG00000177294.7,ENST00000321535,ENST00000321535.5,CCDS11082
ENSG00000072210,ENSG00000072210.19,ENST00000581518,ENST00000581518.6,CCDS11210
ENSG00000072210,ENSG00000072210.19,ENST00000672357,ENST00000672357.1,CCDS11210
ENSG00000072210,ENSG00000072210.19,ENST00000176643,ENST00000176643.11,CCDS11210
ENSG00000072210,ENSG00000072210.19,ENST00000579855,ENST00000579855.5,CCDS11210
ENSG00000010244,ENSG00000010244.19,ENST00000321233,ENST00000321233.10,CCDS11271
ENSG00000185379,ENSG00000185379.21,ENST00000345365,ENST00000345365.11,CCDS11287
ENSG00000185379,ENSG00000185379.21,ENST00000394589,ENST00000394589.8,CCDS11287
ENSG00000185379,ENSG00000185379.21,ENST00000335858,ENST00000335858.11,CCDS11288
ENSG00000276023,ENSG00000276023.5,ENST00000617516,ENST00000617516.5,CCDS11320
ENSG00000276023,ENSG00000276023.5,ENST00000613659,ENST00000613659.1,CCDS11320
ENSG00000276023,ENSG00000276023.5,ENST00000614411,ENST00000614411.1,CCDS11320
ENSG00000167258,ENSG00000167258.15,ENST00000447079,ENST00000447079.6,CCDS11337
ENSG00000108788,ENSG00000108788.12,ENST00000246912,ENST00000246912.8,CCDS11430
ENSG00000131480,ENSG00000131480.9,ENST00000253799,ENST00000253799.8,CCDS11443
ENSG00000175832,ENSG00000175832.13,ENST00000319349,ENST00000319349.10,CCDS11465
ENSG00000175832,ENSG00000175832.13,ENST00000393664,ENST00000393664.6,CCDS11465
ENSG00000175832,ENSG00000175832.13,ENST00000591713,ENST00000591713.5,CCDS11465
ENSG00000108883,ENSG00000108883.13,ENST00000426333,ENST00000426333.7,CCDS11489
ENSG00000108883,ENSG00000108883.13,ENST00000591382,ENST00000591382.5,CCDS11489
ENSG00000172992,ENSG00000172992.12,ENST00000452796,ENST00000452796.6,CCDS11493
ENSG00000172992,ENSG00000172992.12,ENST00000651974,ENST00000651974.1,CCDS11493
ENSG00000172992,ENSG00000172992.12,ENST00000342350,ENST00000342350.9,CCDS11493
ENSG00000172992,ENSG00000172992.12,ENST00000614054,ENST00000614054.4,CCDS11493
ENSG00000172992,ENSG00000172992.12,ENST00000310604,ENST00000310604.8,CCDS11493
ENSG00000172992,ENSG00000172992.12,ENST00000588499,ENST00000588499.5,CCDS11493
ENSG00000154945,ENSG00000154945.7,ENST00000285243,ENST00000285243.7,CCDS11572
ENSG00000153944,ENSG00000153944.12,ENST00000284073,ENST00000284073.7,CCDS11596
ENSG00000153944,ENSG00000153944.12,ENST00000674964,ENST00000674964.1,CCDS11596
ENSG00000153982,ENSG00000153982.11,ENST00000284116,ENST00000284116.9,CCDS11616
ENSG00000141378,ENSG00000141378.15,ENST00000393038,ENST00000393038.3,CCDS11618
ENSG00000141378,ENSG00000141378.15,ENST00000470557,ENST00000470557.2,CCDS11618
ENSG00000108423,ENSG00000108423.15,ENST00000592426,ENST00000592426.5,CCDS11620
ENSG00000108423,ENSG00000108423.15,ENST00000325752,ENST00000325752.8,CCDS11620
ENSG00000154229,ENSG00000154229.12,ENST00000413366,ENST00000413366.8,CCDS11664
ENSG00000160856,ENSG00000160856.21,ENST00000485028,ENST00000485028.5,CCDS1167
ENSG00000160856,ENSG00000160856.21,ENST00000368184,ENST00000368184.8,CCDS1167
ENSG00000177143,ENSG00000177143.5,ENST00000327228,ENST00000327228.5,CCDS11820
ENSG00000177426,ENSG00000177426.22,ENST00000618001,ENST00000618001.4,CCDS11832
ENSG00000177426,ENSG00000177426.22,ENST00000343820,ENST00000343820.10,CCDS11833
ENSG00000177426,ENSG00000177426.22,ENST00000407501,ENST00000407501.6,CCDS11833
ENSG00000177426,ENSG00000177426.22,ENST00000401449,ENST00000401449.5,CCDS11835
ENSG00000177426,ENSG00000177426.22,ENST00000548489,ENST00000548489.6,CCDS11835
ENSG00000177426,ENSG00000177426.22,ENST00000405385,ENST00000405385.7,CCDS11835
ENSG00000177426,ENSG00000177426.22,ENST00000551541,ENST00000551541.5,CCDS11835
ENSG00000177426,ENSG00000177426.22,ENST00000345133,ENST00000345133.9,CCDS11835
ENSG00000177426,ENSG00000177426.22,ENST00000330513,ENST00000330513.10,CCDS11835
ENSG00000177426,ENSG00000177426.22,ENST00000400167,ENST00000400167.6,CCDS11835
ENSG00000177426,ENSG00000177426.22,ENST00000472042,ENST00000472042.1,CCDS11835
ENSG00000175065,ENSG00000175065.12,ENST00000308128,ENST00000308128.9,CCDS11897
ENSG00000101746,ENSG00000101746.16,ENST00000261592,ENST00000261592.10,CCDS11907
ENSG00000075643,ENSG00000075643.6,ENST00000261326,ENST00000261326.6,CCDS11919
ENSG00000267228,ENSG00000267228.7,ENST00000588705,ENST00000588705.1,CCDS11933
ENSG00000134049,ENSG00000134049.6,ENST00000256433,ENST00000256433.6,CCDS11933
ENSG00000166510,ENSG00000166510.14,ENST00000591504,ENST00000591504.6,CCDS11959
ENSG00000166510,ENSG00000166510.14,ENST00000337363,ENST00000337363.8,CCDS11959
ENSG00000166510,ENSG00000166510.14,ENST00000432185,ENST00000432185.5,CCDS11959
ENSG00000166562,ENSG00000166562.9,ENST00000587834,ENST00000587834.6,CCDS11970
ENSG00000170677,ENSG00000170677.6,ENST00000397942,ENST00000397942.4,CCDS11998
ENSG00000170677,ENSG00000170677.6,ENST00000582322,ENST00000582322.1,CCDS11998
ENSG00000099875,ENSG00000099875.16,ENST00000309340,ENST00000309340.11,CCDS12079
ENSG00000117091,ENSG00000117091.10,ENST00000368046,ENST00000368046.8,CCDS1208
ENSG00000188321,ENSG00000188321.14,ENST00000603380,ENST00000603380.6,CCDS12211
ENSG00000188321,ENSG00000188321.14,ENST00000393883,ENST00000393883.6,CCDS12211
ENSG00000171469,ENSG00000171469.11,ENST00000302851,ENST00000302851.8,CCDS12216
ENSG00000118217,ENSG00000118217.7,ENST00000681801,ENST00000681801.1,CCDS1235
ENSG00000118217,ENSG00000118217.7,ENST00000681738,ENST00000681738.1,CCDS1235
ENSG00000118217,ENSG00000118217.7,ENST00000367942,ENST00000367942.4,CCDS1235
ENSG00000105705,ENSG00000105705.16,ENST00000247001,ENST00000247001.10,CCDS12399
ENSG00000162761,ENSG00000162761.14,ENST00000342310,ENST00000342310.7,CCDS1247
ENSG00000162761,ENSG00000162761.14,ENST00000294816,ENST00000294816.6,CCDS1247
ENSG00000162761,ENSG00000162761.14,ENST00000367893,ENST00000367893.4,CCDS1247
ENSG00000011600,ENSG00000011600.12,ENST00000262629,ENST00000262629.9,CCDS12482
ENSG00000197050,ENSG00000197050.11,ENST00000337995,ENST00000337995.4,CCDS12498
ENSG00000013275,ENSG00000013275.8,ENST00000157812,ENST00000157812.7,CCDS12547
ENSG00000077348,ENSG00000077348.9,ENST00000221233,ENST00000221233.9,CCDS12580
ENSG00000104859,ENSG00000104859.15,ENST00000221455,ENST00000221455.8,CCDS12652
ENSG00000010310,ENSG00000010310.9,ENST00000590918,ENST00000590918.6,CCDS12671
ENSG00000087088,ENSG00000087088.20,ENST00000293288,ENST00000293288.12,CCDS12744
ENSG00000117477,ENSG00000117477.12,ENST00000367805,ENST00000367805.7,CCDS1279
ENSG00000117477,ENSG00000117477.12,ENST00000545005,ENST00000545005.5,CCDS1279
ENSG00000198734,ENSG00000198734.12,ENST00000367797,ENST00000367797.9,CCDS1281
ENSG00000007908,ENSG00000007908.16,ENST00000333360,ENST00000333360.12,CCDS1283
ENSG00000105497,ENSG00000105497.8,ENST00000262259,ENST00000262259.7,CCDS12837
ENSG00000171051,ENSG00000171051.9,ENST00000595042,ENST00000595042.5,CCDS12839
ENSG00000171051,ENSG00000171051.9,ENST00000304748,ENST00000304748.5,CCDS12839
ENSG00000171049,ENSG00000171049.9,ENST00000340023,ENST00000340023.7,CCDS12840
ENSG00000171049,ENSG00000171049.9,ENST00000598953,ENST00000598953.1,CCDS12840
ENSG00000171049,ENSG00000171049.9,ENST00000598776,ENST00000598776.1,CCDS12840
ENSG00000187474,ENSG00000187474.5,ENST00000339223,ENST00000339223.5,CCDS12841
ENSG00000187474,ENSG00000187474.5,ENST00000595991,ENST00000595991.1,CCDS12841
ENSG00000256683,ENSG00000256683.7,ENST00000243644,ENST00000243644.9,CCDS12845
ENSG00000167554,ENSG00000167554.15,ENST00000321287,ENST00000321287.12,CCDS12851
ENSG00000167554,ENSG00000167554.15,ENST00000403906,ENST00000403906.8,CCDS12851
ENSG00000167554,ENSG00000167554.15,ENST00000327920,ENST00000327920.12,CCDS12851
ENSG00000167554,ENSG00000167554.15,ENST00000616431,ENST00000616431.2,CCDS12851
ENSG00000170949,ENSG00000170949.18,ENST00000599056,ENST00000599056.5,CCDS12859
ENSG00000170949,ENSG00000170949.18,ENST00000683776,ENST00000683776.1,CCDS12859
ENSG00000170949,ENSG00000170949.18,ENST00000418871,ENST00000418871.5,CCDS12859
ENSG00000170949,ENSG00000170949.18,ENST00000429604,ENST00000429604.5,CCDS12859
ENSG00000105617,ENSG00000105617.4,ENST00000222224,ENST00000222224.4,CCDS12881
ENSG00000178591,ENSG00000178591.7,ENST00000382410,ENST00000382410.3,CCDS12989
ENSG00000116147,ENSG00000116147.17,ENST00000367674,ENST00000367674.7,CCDS1318
ENSG00000116147,ENSG00000116147.17,ENST00000263525,ENST00000263525.6,CCDS1318
ENSG00000101346,ENSG00000101346.14,ENST00000375730,ENST00000375730.3,CCDS13199
ENSG00000057252,ENSG00000057252.13,ENST00000367619,ENST00000367619.8,CCDS1330
ENSG00000124233,ENSG00000124233.12,ENST00000372781,ENST00000372781.4,CCDS13345
ENSG00000180083,ENSG00000180083.11,ENST00000356562,ENST00000356562.6,CCDS13364
ENSG00000180083,ENSG00000180083.11,ENST00000324384,ENST00000324384.4,CCDS13364
ENSG00000180083,ENSG00000180083.11,ENST00000618797,ENST00000618797.4,CCDS13364
ENSG00000124160,ENSG00000124160.12,ENST00000290231,ENST00000290231.11,CCDS13392
ENSG00000124208,ENSG00000124208.16,ENST00000341698,ENST00000341698.2,CCDS13424
ENSG00000244687,ENSG00000244687.12,ENST00000340309,ENST00000340309.7,CCDS13426
ENSG00000244687,ENSG00000244687.12,ENST00000371677,ENST00000371677.7,CCDS13426
ENSG00000244687,ENSG00000244687.12,ENST00000415862,ENST00000415862.6,CCDS13427
ENSG00000184402,ENSG00000184402.15,ENST00000331758,ENST00000331758.8,CCDS13491
ENSG00000203880,ENSG00000203880.12,ENST00000308824,ENST00000308824.11,CCDS13559
ENSG00000186970,ENSG00000186970.4,ENST00000334067,ENST00000334067.4,CCDS13593
ENSG00000185917,ENSG00000185917.14,ENST00000399215,ENST00000399215.5,CCDS13640
ENSG00000185917,ENSG00000185917.14,ENST00000332131,ENST00000332131.9,CCDS13640
ENSG00000185808,ENSG00000185808.14,ENST00000464265,ENST00000464265.5,CCDS13649
ENSG00000185808,ENSG00000185808.14,ENST00000360525,ENST00000360525.9,CCDS13650
ENSG00000185808,ENSG00000185808.14,ENST00000399102,ENST00000399102.5,CCDS13650
ENSG00000185808,ENSG00000185808.14,ENST00000399103,ENST00000399103.5,CCDS13650
ENSG00000157551,ENSG00000157551.19,ENST00000328656,ENST00000328656.8,CCDS13656
ENSG00000157551,ENSG00000157551.19,ENST00000398938,ENST00000398938.7,CCDS13656
ENSG00000157551,ENSG00000157551.19,ENST00000398932,ENST00000398932.5,CCDS13656
ENSG00000157551,ENSG00000157551.19,ENST00000398930,ENST00000398930.5,CCDS13656
ENSG00000157551,ENSG00000157551.19,ENST00000398934,ENST00000398934.5,CCDS13656
ENSG00000157551,ENSG00000157551.19,ENST00000613499,ENST00000613499.4,CCDS13656
ENSG00000157551,ENSG00000157551.19,ENST00000612702,ENST00000612702.4,CCDS13656
ENSG00000157554,ENSG00000157554.19,ENST00000398911,ENST00000398911.5,CCDS13657
ENSG00000157554,ENSG00000157554.19,ENST00000442448,ENST00000442448.5,CCDS13657
ENSG00000157554,ENSG00000157554.19,ENST00000288319,ENST00000288319.12,CCDS13658
ENSG00000160181,ENSG00000160181.9,ENST00000291526,ENST00000291526.5,CCDS13684
ENSG00000183773,ENSG00000183773.16,ENST00000399167,ENST00000399167.6,CCDS13786
ENSG00000183773,ENSG00000183773.16,ENST00000440238,ENST00000440238.4,CCDS13786
ENSG00000221963,ENSG00000221963.6,ENST00000409652,ENST00000409652.5,CCDS13919
ENSG00000162702,ENSG00000162702.8,ENST00000294740,ENST00000294740.3,CCDS1402
ENSG00000162702,ENSG00000162702.8,ENST00000367353,ENST00000367353.2,CCDS1402
ENSG00000118200,ENSG00000118200.14,ENST00000358823,ENST00000358823.6,CCDS1404
ENSG00000100304,ENSG00000100304.13,ENST00000216129,ENST00000216129.7,CCDS14047
ENSG00000130943,ENSG00000130943.7,ENST00000253255,ENST00000253255.7,CCDS14073
ENSG00000101825,ENSG00000101825.8,ENST00000217939,ENST00000217939.7,CCDS14124
ENSG00000198892,ENSG00000198892.7,ENST00000362011,ENST00000362011.7,CCDS1416
ENSG00000012174,ENSG00000012174.12,ENST00000379484,ENST00000379484.10,CCDS14201
ENSG00000165164,ENSG00000165164.14,ENST00000297866,ENST00000297866.9,CCDS14237
ENSG00000147050,ENSG00000147050.17,ENST00000377967,ENST00000377967.9,CCDS14265
ENSG00000147144,ENSG00000147144.13,ENST00000597275,ENST00000597275.5,CCDS14316
ENSG00000147144,ENSG00000147144.13,ENST00000496529,ENST00000496529.6,CCDS14316
ENSG00000147144,ENSG00000147144.13,ENST00000606812,ENST00000606812.5,CCDS14316
ENSG00000181704,ENSG00000181704.12,ENST00000462683,ENST00000462683.6,CCDS14389
ENSG00000184210,ENSG00000184210.6,ENST00000333026,ENST00000333026.4,CCDS14397
ENSG00000122145,ENSG00000122145.15,ENST00000373294,ENST00000373294.8,CCDS14445
ENSG00000122145,ENSG00000122145.15,ENST00000373296,ENST00000373296.8,CCDS14445
ENSG00000188917,ENSG00000188917.15,ENST00000372935,ENST00000372935.5,CCDS14477
ENSG00000188917,ENSG00000188917.15,ENST00000372936,ENST00000372936.4,CCDS14477
ENSG00000188917,ENSG00000188917.15,ENST00000545398,ENST00000545398.5,CCDS14477
ENSG00000102393,ENSG00000102393.14,ENST00000218516,ENST00000218516.4,CCDS14484
ENSG00000185222,ENSG00000185222.10,ENST00000372656,ENST00000372656.5,CCDS14507
ENSG00000185222,ENSG00000185222.10,ENST00000372661,ENST00000372661.6,CCDS14507
ENSG00000185222,ENSG00000185222.10,ENST00000646896,ENST00000646896.1,CCDS14507
ENSG00000189108,ENSG00000189108.13,ENST00000372582,ENST00000372582.6,CCDS14517
ENSG00000101901,ENSG00000101901.12,ENST00000371979,ENST00000371979.7,CCDS14559
ENSG00000072315,ENSG00000072315.4,ENST00000262839,ENST00000262839.3,CCDS14561
ENSG00000125352,ENSG00000125352.6,ENST00000371442,ENST00000371442.4,CCDS14589
ENSG00000177485,ENSG00000177485.7,ENST00000326624,ENST00000326624.2,CCDS14596
ENSG00000177485,ENSG00000177485.7,ENST00000557385,ENST00000557385.2,CCDS14596
ENSG00000125355,ENSG00000125355.16,ENST00000309720,ENST00000309720.9,CCDS14597
ENSG00000102245,ENSG00000102245.8,ENST00000370629,ENST00000370629.7,CCDS14659
ENSG00000130830,ENSG00000130830.15,ENST00000369534,ENST00000369534.8,CCDS14762
ENSG00000172468,ENSG00000172468.14,ENST00000309834,ENST00000309834.8,CCDS14790
ENSG00000169953,ENSG00000169953.12,ENST00000304790,ENST00000304790.3,CCDS14791
ENSG00000117335,ENSG00000117335.20,ENST00000358170,ENST00000358170.6,CCDS1485
ENSG00000117597,ENSG00000117597.18,ENST00000491415,ENST00000491415.7,CCDS1493
ENSG00000178395,ENSG00000178395.7,ENST00000366875,ENST00000366875.5,CCDS1537
ENSG00000143742,ENSG00000143742.14,ENST00000304786,ENST00000304786.12,CCDS1546
ENSG00000153207,ENSG00000153207.16,ENST00000326225,ENST00000326225.3,CCDS1629
ENSG00000151692,ENSG00000151692.15,ENST00000320892,ENST00000320892.11,CCDS1657
ENSG00000068697,ENSG00000068697.7,ENST00000175091,ENST00000175091.5,CCDS1696
ENSG00000084674,ENSG00000084674.15,ENST00000233242,ENST00000233242.5,CCDS1703
ENSG00000171174,ENSG00000171174.15,ENST00000302188,ENST00000302188.8,CCDS1762
ENSG00000163806,ENSG00000163806.16,ENST00000379579,ENST00000379579.8,CCDS1767
ENSG00000163806,ENSG00000163806.16,ENST00000334056,ENST00000334056.10,CCDS1767
ENSG00000115841,ENSG00000115841.21,ENST00000234195,ENST00000234195.7,CCDS1792
ENSG00000152147,ENSG00000152147.11,ENST00000281950,ENST00000281950.8,CCDS1799
ENSG00000011566,ENSG00000011566.15,ENST00000263881,ENST00000263881.8,CCDS1803
ENSG00000152527,ENSG00000152527.14,ENST00000282406,ENST00000282406.9,CCDS1812
ENSG00000151665,ENSG00000151665.13,ENST00000281382,ENST00000281382.11,CCDS1827
ENSG00000095002,ENSG00000095002.15,ENST00000233146,ENST00000233146.7,CCDS1834
ENSG00000115998,ENSG00000115998.8,ENST00000264434,ENST00000264434.7,CCDS1899
ENSG00000115998,ENSG00000115998.8,ENST00000420306,ENST00000420306.1,CCDS1899
ENSG00000188687,ENSG00000188687.17,ENST00000377634,ENST00000377634.8,CCDS1936
ENSG00000188687,ENSG00000188687.17,ENST00000346834,ENST00000346834.8,CCDS1936
ENSG00000188687,ENSG00000188687.17,ENST00000394019,ENST00000394019.6,CCDS1937
ENSG00000188687,ENSG00000188687.17,ENST00000423644,ENST00000423644.5,CCDS1937
ENSG00000172116,ENSG00000172116.23,ENST00000390655,ENST00000390655.12,CCDS1997
ENSG00000172073,ENSG00000172073.4,ENST00000303254,ENST00000303254.4,CCDS2003
ENSG00000155066,ENSG00000155066.16,ENST00000403131,ENST00000403131.6,CCDS2012
ENSG00000155066,ENSG00000155066.16,ENST00000317668,ENST00000317668.8,CCDS2012
ENSG00000155066,ENSG00000155066.16,ENST00000317620,ENST00000317620.14,CCDS2012
ENSG00000144015,ENSG00000144015.5,ENST00000272395,ENST00000272395.3,CCDS2015
ENSG00000135956,ENSG00000135956.9,ENST00000258439,ENST00000258439.8,CCDS2018
ENSG00000135956,ENSG00000135956.9,ENST00000432959,ENST00000432959.1,CCDS2018
ENSG00000135945,ENSG00000135945.10,ENST00000258428,ENST00000258428.8,CCDS2045
ENSG00000135972,ENSG00000135972.9,ENST00000258455,ENST00000258455.8,CCDS2065
ENSG00000135974,ENSG00000135974.10,ENST00000258457,ENST00000258457.7,CCDS2068
ENSG00000115665,ENSG00000115665.9,ENST00000409059,ENST00000409059.5,CCDS2074
ENSG00000115665,ENSG00000115665.9,ENST00000264047,ENST00000264047.3,CCDS2074
ENSG00000144063,ENSG00000144063.4,ENST00000272462,ENST00000272462.3,CCDS2085
ENSG00000136697,ENSG00000136697.13,ENST00000341010,ENST00000341010.6,CCDS2112
ENSG00000136697,ENSG00000136697.13,ENST00000393197,ENST00000393197.3,CCDS2112
ENSG00000115109,ENSG00000115109.14,ENST00000263713,ENST00000263713.10,CCDS2130
ENSG00000144118,ENSG00000144118.14,ENST00000272519,ENST00000272519.10,CCDS2131
ENSG00000144118,ENSG00000144118.14,ENST00000420510,ENST00000420510.5,CCDS2131
ENSG00000144233,ENSG00000144233.11,ENST00000272647,ENST00000272647.10,CCDS2152
ENSG00000144233,ENSG00000144233.11,ENST00000393001,ENST00000393001.1,CCDS2152
ENSG00000173302,ENSG00000173302.5,ENST00000309926,ENST00000309926.4,CCDS2163
ENSG00000153234,ENSG00000153234.15,ENST00000339562,ENST00000339562.9,CCDS2201
ENSG00000153234,ENSG00000153234.15,ENST00000409572,ENST00000409572.5,CCDS2201
ENSG00000197635,ENSG00000197635.11,ENST00000360534,ENST00000360534.8,CCDS2216
ENSG00000144357,ENSG00000144357.18,ENST00000272793,ENST00000272793.11,CCDS2238
ENSG00000198586,ENSG00000198586.14,ENST00000431350,ENST00000431350.7,CCDS2241
ENSG00000091409,ENSG00000091409.16,ENST00000684293,ENST00000684293.1,CCDS2249
ENSG00000061676,ENSG00000061676.15,ENST00000361354,ENST00000361354.9,CCDS2287
ENSG00000061676,ENSG00000061676.15,ENST00000360982,ENST00000360982.2,CCDS2288
ENSG00000138375,ENSG00000138375.13,ENST00000357276,ENST00000357276.9,CCDS2403
ENSG00000138375,ENSG00000138375.13,ENST00000358207,ENST00000358207.9,CCDS2403
ENSG00000118245,ENSG00000118245.2,ENST00000236979,ENST00000236979.2,CCDS2406
ENSG00000163497,ENSG00000163497.3,ENST00000295727,ENST00000295727.2,CCDS2428
ENSG00000163082,ENSG00000163082.10,ENST00000321276,ENST00000321276.8,CCDS2453
ENSG00000189266,ENSG00000189266.13,ENST00000647887,ENST00000647887.1,CCDS246
ENSG00000189266,ENSG00000189266.13,ENST00000334351,ENST00000334351.8,CCDS246
ENSG00000189266,ENSG00000189266.13,ENST00000374468,ENST00000374468.1,CCDS246
ENSG00000185436,ENSG00000185436.12,ENST00000327535,ENST00000327535.6,CCDS248
ENSG00000185436,ENSG00000185436.12,ENST00000374421,ENST00000374421.7,CCDS249
ENSG00000072756,ENSG00000072756.17,ENST00000251607,ENST00000251607.11,CCDS2561
ENSG00000072756,ENSG00000072756.17,ENST00000434583,ENST00000434583.5,CCDS2561
ENSG00000114026,ENSG00000114026.22,ENST00000302036,ENST00000302036.11,CCDS2576
ENSG00000114026,ENSG00000114026.22,ENST00000349503,ENST00000349503.9,CCDS2577
ENSG00000156990,ENSG00000156990.14,ENST00000383820,ENST00000383820.9,CCDS2586
ENSG00000125037,ENSG00000125037.12,ENST00000245046,ENST00000245046.6,CCDS2594
ENSG00000154781,ENSG00000154781.16,ENST00000383794,ENST00000383794.7,CCDS2620
ENSG00000151789,ENSG00000151789.12,ENST00000281523,ENST00000281523.8,CCDS2636
ENSG00000174748,ENSG00000174748.22,ENST00000307839,ENST00000307839.10,CCDS2640
ENSG00000174748,ENSG00000174748.22,ENST00000413699,ENST00000413699.7,CCDS2640
ENSG00000174748,ENSG00000174748.22,ENST00000415719,ENST00000415719.5,CCDS2640
ENSG00000174748,ENSG00000174748.22,ENST00000644185,ENST00000644185.1,CCDS2640
ENSG00000174748,ENSG00000174748.22,ENST00000354811,ENST00000354811.5,CCDS2640
ENSG00000174748,ENSG00000174748.22,ENST00000611050,ENST00000611050.4,CCDS2640
ENSG00000163508,ENSG00000163508.13,ENST00000295743,ENST00000295743.8,CCDS2646
ENSG00000144644,ENSG00000144644.15,ENST00000282538,ENST00000282538.10,CCDS2649
ENSG00000170248,ENSG00000170248.15,ENST00000307296,ENST00000307296.8,CCDS2660
ENSG00000178252,ENSG00000178252.18,ENST00000395474,ENST00000395474.7,CCDS2782
ENSG00000178252,ENSG00000178252.18,ENST00000610967,ENST00000610967.4,CCDS2782
ENSG00000068001,ENSG00000068001.14,ENST00000447092,ENST00000447092.5,CCDS2818
ENSG00000068001,ENSG00000068001.14,ENST00000357750,ENST00000357750.9,CCDS2818
ENSG00000068001,ENSG00000068001.14,ENST00000395139,ENST00000395139.7,CCDS2818
